03_02_眞正の改良	OH_KC	1000	1020	I	忍び	忍びる	シノビル	動詞-一般	上一段-バ行	未然形-一般	シノビ	和
03_02_眞正の改良	OH_KC	1020	1030	I	ず	ず	ズ	助動詞	助動詞-ヌ	終止形-一般	ズ	和
03_02_眞正の改良	OH_KC	1030	1040	I	」	」		補助記号-括弧閉				記号
03_02_眞正の改良	OH_KC	1040	1050	B	と	と	ト	助詞-格助詞			ト	和
03_02_眞正の改良	OH_KC	1050	1070	I	いふ	言う	イウ	動詞-一般	五段-ワア行	連体形-一般	イウ	和
03_02_眞正の改良	OH_KC	1070	1090	I	言葉	言葉	コトバ	名詞-普通名詞-一般			コトバ	和
03_02_眞正の改良	OH_KC	1090	1100	I	は	は	ハ	助詞-係助詞			ワ	和
03_02_眞正の改良	OH_KC	1100	1170	I	シェクスピーヤ	シェークスピア	シェークスピア	名詞-固有名詞-人名-一般			シェクスピーヤ	固
03_02_眞正の改良	OH_KC	1170	1180	I	が	が	ガ	助詞-格助詞			ガ	和
03_02_眞正の改良	OH_KC	1180	1200	I	曾て	嘗て	カツテ	副詞			カツテ	和
03_02_眞正の改良	OH_KC	1200	1220	I	申し	申す	モウス	動詞-非自立可能	五段-サ行	連用形-一般	モーシ	和
03_02_眞正の改良	OH_KC	1220	1230	I	た	た	タ	助動詞	助動詞-タ	連体形-一般	タ	和
03_02_眞正の改良	OH_KC	1230	1250	I	言葉	言葉	コトバ	名詞-普通名詞-一般			コトバ	和
03_02_眞正の改良	OH_KC	1250	1260	I	で	だ	ダ	助動詞	助動詞-ダ	連用形-一般	デ	和
03_02_眞正の改良	OH_KC	1260	1280	I	あり	有る	アル	動詞-非自立可能	五段-ラ行	連用形-一般	アリ	和
03_02_眞正の改良	OH_KC	1280	1300	I	ます	ます	マス	助動詞	助動詞-マス	終止形-一般	マス	和
03_02_眞正の改良	OH_KC	1300	1310	I	。	。		補助記号-句点				記号
03_02_眞正の改良	OH_KC	1310	1330	B	さて	扠	サテ	接続詞			サテ	和
03_02_眞正の改良	OH_KC	1330	1360	I	世の中	世の中	ヨノナカ	名詞-普通名詞-一般			ヨノナカ	和
03_02_眞正の改良	OH_KC	1360	1370	I	に	に	ニ	助詞-格助詞			ニ	和
03_02_眞正の改良	OH_KC	1370	1380	I	は	は	ハ	助詞-係助詞			ワ	和
03_02_眞正の改良	OH_KC	1380	1400	I	隨分	随分	ズイブン	副詞			ズイブン	漢
03_02_眞正の改良	OH_KC	1400	1450	I	おそろしい	恐ろしい	オソロシイ	形容詞-一般	形容詞	連体形-一般	オソロシー	和
03_02_眞正の改良	OH_KC	1450	1470	I	こと	事	コト	名詞-普通名詞-一般			コト	和
03_02_眞正の改良	OH_KC	1470	1480	I	が	が	ガ	助詞-格助詞			ガ	和
03_02_眞正の改良	OH_KC	1480	1500	I	有り	有る	アル	動詞-非自立可能	五段-ラ行	連用形-一般	アリ	和
03_02_眞正の改良	OH_KC	1500	1530	I	まする	ます	マス	助動詞	助動詞-マス	終止形-一般	マスル	和
03_02_眞正の改良	OH_KC	1530	1540	I	が	が	ガ	助詞-接続助詞			ガ	和
03_02_眞正の改良	OH_KC	1540	1560	I	彼の	彼の	カノ	連体詞			カノ	和
03_02_眞正の改良	OH_KC	1560	1620	I	ノルマントン	ノルマントン	ノルマントン	名詞-固有名詞-一般			ノルマントン	固
03_02_眞正の改良	OH_KC	1620	1630	I	號	号	ゴウ	名詞-普通名詞-助数詞可能			ゴー	漢
03_02_眞正の改良	OH_KC	1630	1640	I	の	の	ノ	助詞-格助詞			ノ	和
03_02_眞正の改良	OH_KC	1640	1660	I	事件	事件	ジケン	名詞-普通名詞-一般			ジケン	漢
03_02_眞正の改良	OH_KC	1660	1670	I	の	の	ノ	助詞-格助詞			ノ	和
03_02_眞正の改良	OH_KC	1670	1690	I	如き	ごとし	ゴトシ	助動詞	文語助動詞-ゴトシ	連体形-一般	ゴトキ	和
03_02_眞正の改良	OH_KC	1690	1700	I	は	は	ハ	助詞-係助詞			ワ	和
03_02_眞正の改良	OH_KC	1700	1710	B	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
03_02_眞正の改良	OH_KC	1710	1720	I	之	此れ	コレ	代名詞			コレ	和
03_02_眞正の改良	OH_KC	1720	1730	I	を	を	ヲ	助詞-格助詞			オ	和
