07_01_監獄論_S003	OH_KC	93890	93900	I	以	持つ	モツ	動詞-一般	五段-タ行	連用形-促音便	モッ	和
07_01_監獄論_S003	OH_KC	93900	93910	I	て	て	テ	助詞-接続助詞			テ	和
07_01_監獄論_S003	OH_KC	93910	93930	I	尊卑	尊卑	ソンピ	名詞-普通名詞-一般			ソンピ	漢
07_01_監獄論_S003	OH_KC	93930	93940	I	を	を	ヲ	助詞-格助詞			オ	和
07_01_監獄論_S003	OH_KC	93940	93970	I	定める	定める	サダメル	動詞-一般	下一段-マ行	終止形-一般	サダメル	和
07_01_監獄論_S003	OH_KC	93970	93980	I	と	と	ト	助詞-接続助詞			ト	和
07_01_監獄論_S003	OH_KC	93980	93990	I	昔	昔	ムカシ	名詞-普通名詞-副詞可能			ムカシ	和
07_01_監獄論_S003	OH_KC	93990	94000	I	の	の	ノ	助詞-格助詞			ノ	和
07_01_監獄論_S003	OH_KC	94000	94020	I	大名	大名	ダイミョウ	名詞-普通名詞-一般			ダイミョー	漢
07_01_監獄論_S003	OH_KC	94020	94030	I	の	の	ノ	助詞-格助詞			ノ	和
07_01_監獄論_S003	OH_KC	94030	94040	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
07_01_監獄論_S003	OH_KC	94040	94050	I	に	に	ニ	助詞-格助詞			ニ	和
07_01_監獄論_S003	OH_KC	94050	94060	I	は	は	ハ	助詞-係助詞			ワ	和
07_01_監獄論_S003	OH_KC	94060	94080	I	隨分	随分	ズイブン	副詞			ズイブン	漢
07_01_監獄論_S003	OH_KC	94080	94110	I	宜しく	宜しい	ヨロシイ	形容詞-一般	形容詞	連用形-一般	ヨロシク	和
07_01_監獄論_S003	OH_KC	94110	94130	I	ない	無い	ナイ	形容詞-非自立可能	形容詞	連体形-一般	ナイ	和
07_01_監獄論_S003	OH_KC	94130	94150	I	こと	事	コト	名詞-普通名詞-一般			コト	和
07_01_監獄論_S003	OH_KC	94150	94160	I	を	を	ヲ	助詞-格助詞			オ	和
