07_01_監獄論_S002	OH_KC	46870	46910	I	いぢめる	苛める	イジメル	動詞-一般	下一段-マ行	連体形-一般	イジメル	和
07_01_監獄論_S002	OH_KC	46910	46920	I	の	の	ノ	助詞-準体助詞			ノ	和
07_01_監獄論_S002	OH_KC	46920	46930	I	は	は	ハ	助詞-係助詞			ワ	和
07_01_監獄論_S002	OH_KC	46930	46940	I	譯	訳	ワケ	名詞-普通名詞-一般			ワケ	和
07_01_監獄論_S002	OH_KC	46940	46950	I	の	の	ノ	助詞-格助詞			ノ	和
07_01_監獄論_S002	OH_KC	46950	46970	I	分ら	分かる	ワカル	動詞-一般	五段-ラ行	未然形-一般	ワカラ	和
07_01_監獄論_S002	OH_KC	46970	46990	I	ない	ない	ナイ	助動詞	助動詞-ナイ	連体形-一般	ナイ	和
07_01_監獄論_S002	OH_KC	46990	47010	I	こと	事	コト	名詞-普通名詞-一般			コト	和
07_01_監獄論_S002	OH_KC	47010	47020	I	だ	だ	ダ	助動詞	助動詞-ダ	終止形-一般	ダ	和
07_01_監獄論_S002	OH_KC	47020	47030	I	」	」		補助記号-括弧閉				記号
07_01_監獄論_S002	OH_KC	47030	47040	B	と	と	ト	助詞-格助詞			ト	和
07_01_監獄論_S002	OH_KC	47040	47060	I	思つ	思う	オモウ	動詞-一般	五段-ワア行	連用形-促音便	オモッ	和
07_01_監獄論_S002	OH_KC	47060	47070	I	て	て	テ	助詞-接続助詞			テ	和
07_01_監獄論_S002	OH_KC	47070	47090	I	居る	居る	イル	動詞-非自立可能	上一段-ア行	終止形-一般	イル	和
07_01_監獄論_S002	OH_KC	47090	47100	I	で	だ	ダ	助動詞	助動詞-ダ	連用形-一般	デ	和
07_01_監獄論_S002	OH_KC	47100	47120	I	有り	有る	アル	動詞-非自立可能	五段-ラ行	連用形-一般	アリ	和
07_01_監獄論_S002	OH_KC	47120	47150	I	ませう	ます	マス	助動詞	助動詞-マス	意志推量形	マショー	和
07_01_監獄論_S002	OH_KC	47150	47160	I	。	。		補助記号-句点				記号
07_01_監獄論_S002	OH_KC	47160	47180	B	此れ	此れ	コレ	代名詞			コレ	和
07_01_監獄論_S002	OH_KC	47180	47190	I	等	等	ラ	接尾辞-名詞的-一般			ラ	和
07_01_監獄論_S002	OH_KC	47190	47200	I	の	の	ノ	助詞-格助詞			ノ	和
07_01_監獄論_S002	OH_KC	47200	47220	I	人物	人物	ジンブツ	名詞-普通名詞-一般			ジンブツ	漢
07_01_監獄論_S002	OH_KC	47220	47230	I	に	に	ニ	助詞-格助詞			ニ	和
07_01_監獄論_S002	OH_KC	47230	47250	I	向つ	向かう	ムカウ	動詞-一般	五段-ワア行	連用形-促音便	ムカッ	和
07_01_監獄論_S002	OH_KC	47250	47260	I	て	て	テ	助詞-接続助詞			テ	和
07_01_監獄論_S002	OH_KC	47260	47270	I	は	は	ハ	助詞-係助詞			ワ	和
07_01_監獄論_S002	OH_KC	47270	47290	I	其の	其の	ソノ	連体詞			ソノ	和
07_01_監獄論_S002	OH_KC	47290	47310	I	惡い	悪い	ワルイ	形容詞-一般	形容詞	終止形-一般	ワルイ	和
07_01_監獄論_S002	OH_KC	47310	47320	I	と	と	ト	助詞-格助詞			ト	和
07_01_監獄論_S002	OH_KC	47320	47340	I	云ふ	言う	イウ	動詞-一般	五段-ワア行	連体形-一般	イウ	和
