02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	690	720	I	始めて	初めて	ハジメテ	副詞			ハジメテ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	720	730	I	の	の	ノ	助詞-格助詞			ノ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	730	750	I	卒業	卒業	ソツギョウ	名詞-普通名詞-サ変可能			ソツギョー	漢
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	750	760	I	式	式	シキ	接尾辞-名詞的-一般			シキ	漢
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	760	770	I	に	に	ニ	助詞-格助詞			ニ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	770	790	I	招か	招く	マネク	動詞-一般	五段-カ行	未然形-一般	マネカ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	790	800	I	れ	れる	レル	助動詞	助動詞-レル	連用形-一般	レ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	800	820	I	まし	ます	マス	助動詞	助動詞-マス	連用形-一般	マシ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	820	830	I	た	た	タ	助動詞	助動詞-タ	連体形-一般	タ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	830	850	I	こと	事	コト	名詞-普通名詞-一般			コト	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	850	860	I	が	が	ガ	助詞-格助詞			ガ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	860	890	I	御坐い	御座る	ゴザル	動詞-非自立可能	五段-ラ行	連用形-イ音便	ゴザイ	混
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	890	910	I	まし	ます	マス	助動詞	助動詞-マス	連用形-一般	マシ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	910	920	I	た	た	タ	助動詞	助動詞-タ	終止形-一般	タ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	920	930	I	。	。		補助記号-句点				記号
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	930	950	B	其の	其の	ソノ	連体詞			ソノ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	950	960	I	後	後	アト	名詞-普通名詞-副詞可能			アト	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	960	970	I	は	は	ハ	助詞-係助詞			ワ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	970	1000	I	コチラ	此方	コチラ	代名詞			コチラ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	1000	1010	I	に	に	ニ	助詞-格助詞			ニ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	1010	1030	I	居り	居る	オル	動詞-非自立可能	五段-ラ行	連用形-一般	オリ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	1030	1050	I	ませ	ます	マス	助動詞	助動詞-マス	未然形-一般	マセ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	1050	1060	I	ぬ	ず	ズ	助動詞	助動詞-ヌ	連体形-一般	ヌ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	1060	1070	I	故	故	ユエ	名詞-普通名詞-副詞可能			ユエ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	1070	1080	I	に	に	ニ	助詞-格助詞			ニ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	1080	1100	I	其の	其の	ソノ	連体詞			ソノ	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	1100	1110	I	後	後	アト	名詞-普通名詞-副詞可能			アト	和
02_03_孛國の司法制度を説き併せて所感を述ぶ	OH_KC	1110	1120	I	の	の	ノ	助詞-格助詞			ノ	和
