05_02_飲酒の害	OH_KC	880	890	I	を	を	ヲ	助詞-格助詞			オ	和
05_02_飲酒の害	OH_KC	890	920	I	亡ぼす	滅ぼす	ホロボス	動詞-一般	五段-サ行	連体形-一般	ホロボス	和
05_02_飲酒の害	OH_KC	920	940	I	もの	者	モノ	名詞-普通名詞-一般			モノ	和
05_02_飲酒の害	OH_KC	940	950	I	が	が	ガ	助詞-格助詞			ガ	和
05_02_飲酒の害	OH_KC	950	970	I	有る	有る	アル	動詞-非自立可能	五段-ラ行	終止形-一般	アル	和
05_02_飲酒の害	OH_KC	970	980	I	。	。		補助記号-句点				記号
05_02_飲酒の害	OH_KC	980	990	B	殷	殷	イン	名詞-固有名詞-地名-国			イン	固
05_02_飲酒の害	OH_KC	990	1000	I	の	の	ノ	助詞-格助詞			ノ	和
05_02_飲酒の害	OH_KC	1000	1020	I	紂王	チュウオウ	チュウオウ	名詞-固有名詞-人名-一般			チューオー	固
05_02_飲酒の害	OH_KC	1020	1040	I	など	など	ナド	助詞-副助詞			ナド	和
05_02_飲酒の害	OH_KC	1040	1050	I	は	は	ハ	助詞-係助詞			ワ	和
05_02_飲酒の害	OH_KC	1050	1060	I	酒	酒	サケ	名詞-普通名詞-一般			サケ	和
05_02_飲酒の害	OH_KC	1060	1070	I	の	の	ノ	助詞-格助詞			ノ	和
05_02_飲酒の害	OH_KC	1070	1080	I	池	池	イケ	名詞-普通名詞-一般			イケ	和
05_02_飲酒の害	OH_KC	1080	1090	I	，	，		補助記号-読点				記号
05_02_飲酒の害	OH_KC	1090	1100	I	肉	肉	ニク	名詞-普通名詞-一般			ニク	漢
05_02_飲酒の害	OH_KC	1100	1110	I	の	の	ノ	助詞-格助詞			ノ	和
05_02_飲酒の害	OH_KC	1110	1120	I	林	林	ハヤシ	名詞-普通名詞-一般			ハヤシ	和
05_02_飲酒の害	OH_KC	1120	1130	I	を	を	ヲ	助詞-格助詞			オ	和
05_02_飲酒の害	OH_KC	1130	1150	I	造つ	作る	ツクル	動詞-一般	五段-ラ行	連用形-促音便	ツクッ	和
05_02_飲酒の害	OH_KC	1150	1160	I	た	た	タ	助動詞	助動詞-タ	終止形-一般	タ	和
05_02_飲酒の害	OH_KC	1160	1170	I	と	と	ト	助詞-格助詞			ト	和
05_02_飲酒の害	OH_KC	1170	1190	I	いふ	言う	イウ	動詞-一般	五段-ワア行	終止形-一般	イウ	和
05_02_飲酒の害	OH_KC	1190	1200	I	が	が	ガ	助詞-接続助詞			ガ	和
05_02_飲酒の害	OH_KC	1200	1210	I	，	，		補助記号-読点				記号
05_02_飲酒の害	OH_KC	1210	1230	I	一體	一体	イッタイ	副詞			イッタイ	漢
05_02_飲酒の害	OH_KC	1230	1240	I	，	，		補助記号-読点				記号
05_02_飲酒の害	OH_KC	1240	1260	I	紂王	チュウオウ	チュウオウ	名詞-固有名詞-人名-一般			チューオー	固
05_02_飲酒の害	OH_KC	1260	1270	I	と	と	ト	助詞-格助詞			ト	和
05_02_飲酒の害	OH_KC	1270	1290	I	いふ	言う	イウ	動詞-一般	五段-ワア行	連体形-一般	イウ	和
05_02_飲酒の害	OH_KC	1290	1300	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
05_02_飲酒の害	OH_KC	1300	1310	I	は	は	ハ	助詞-係助詞			ワ	和
05_02_飲酒の害	OH_KC	1310	1340	I	ムヤミ	無闇	ムヤミ	形状詞-一般			ムヤミ	和
05_02_飲酒の害	OH_KC	1340	1350	I	な	だ	ダ	助動詞	助動詞-ダ	連体形-一般	ナ	和
05_02_飲酒の害	OH_KC	1350	1370	I	こと	事	コト	名詞-普通名詞-一般			コト	和
05_02_飲酒の害	OH_KC	1370	1380	I	を	を	ヲ	助詞-格助詞			オ	和
05_02_飲酒の害	OH_KC	1380	1400	I	する	為る	スル	動詞-非自立可能	サ行変格	連体形-一般	スル	和
05_02_飲酒の害	OH_KC	1400	1410	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
05_02_飲酒の害	OH_KC	1410	1420	I	で	だ	ダ	助動詞	助動詞-ダ	連用形-一般	デ	和
05_02_飲酒の害	OH_KC	1420	1450	I	孕み女	孕み女	ハラミオンナ	名詞-普通名詞-一般			ハラミオンナ	和
05_02_飲酒の害	OH_KC	1450	1460	I	の	の	ノ	助詞-格助詞			ノ	和
05_02_飲酒の害	OH_KC	1460	1470	I	腹	腹	ハラ	名詞-普通名詞-一般			ハラ	和
05_02_飲酒の害	OH_KC	1470	1480	I	を	を	ヲ	助詞-格助詞			オ	和
05_02_飲酒の害	OH_KC	1480	1500	I	剖い	裂く	サク	動詞-一般	文語四段-カ行	連用形-イ音便	サイ	和
